"","CD_MUN","year","chik_incidence","denv_incidence","yfv_incidence","zika_incidence"
"348",110170,2017,0.425320319,1.35099824,0,0
"349",110170,2018,0.10633008,0.10633008,0,0
"350",110170,2019,0,0,0,0
"351",110175,2013,0,0,0,0
"352",110175,2014,0,0.275712871,0,0
"353",110175,2015,0,0.459521452,0,0
"354",110175,2016,0,2.021894389,0,0
"355",110175,2017,0,2.021894389,0,0
"356",110175,2018,0.085922381,0.257767143,0,0
"357",110175,2019,0,0.171844762,0,0
"358",110180,2013,0,0,0,0
"359",110180,2014,0,0.318285806,0,0
"360",110180,2015,0,0.318285806,0,0
"361",110180,2016,0,11.93571773,0,0
"362",110180,2017,0,7.161430641,0,0
"363",110180,2018,0,0.179194831,0,0
"364",110180,2019,0.179194831,1.254363817,0,0
"365",120001,2013,0,0,0,0
"366",120001,2014,0,0.47818998,0,0
"367",120001,2015,0,0.751441397,0,0
"368",120001,2016,0,0.273251417,0,0
"369",120001,2017,0,9.768738165,0,0
"370",120001,2018,0,3.638932419,0,0
"371",120001,2019,0,0.727786484,0,0
"372",120005,2013,0,0,0,0
"373",120005,2014,0,2.52084328,0,0
"374",120005,2015,0,0.720240937,0,0
"375",120005,2016,0,58.69963638,0,0
"376",120005,2017,0.468652551,0.240080312,0,0
"377",120005,2018,0.18746102,0.468652551,0,0
"378",120005,2019,0.09373051,8.15455439,0,0
"379",120010,2013,0,0,0,0
"380",120010,2014,0,0.61742453,0,0
"381",120010,2015,0,0.360164309,0,0
"382",120010,2016,0,2.829862428,0,0.154356132
"383",120010,2017,2.568436594,3.395834913,0,0.823232706
"384",120010,2018,0.560386166,2.988726219,0,0.140096542
"385",120010,2019,0.233494236,8.685985573,0,0
"386",120013,2013,0,0,0,0
"387",120013,2014,0,2.612151517,0,0
"388",120013,2015,0,2.5250798,0,0
"389",120013,2016,0,1.306075759,0,0
"390",120013,2017,0,1.306075759,0,0
"391",120013,2018,0,7.806912057,0,0
"392",120013,2019,0,2.007491672,0,0
"393",120017,2013,0,0,0,0
"394",120017,2014,0,2.123750376,0,0
"395",120017,2015,0,0.825902924,0,0
"396",120017,2016,0,6.961181788,0,0
"397",120017,2017,0,3.185625564,0,0.235972264
"398",120017,2018,0,4.578515714,0,0
"399",120017,2019,0,7.381688601,0,0
"400",120020,2013,0,0,0,0
"401",120020,2014,0,263.9294986,0,0
"402",120020,2015,0,44.68469042,0,0
"403",120020,2016,0,2.18361437,0,0.158808318
"404",120020,2017,0.698390073,5.77665256,0,0.01985104
"405",120020,2018,1.453406368,9.758585616,0,0.783329406
"406",120020,2019,0.056626222,26.98239485,0,0.103814741
"407",120025,2013,0,0,0,0
"408",120025,2014,0,2.144402266,0,0
"409",120025,2015,0,3.063431808,0,0
"410",120025,2016,0,11.99844125,0,0.204228787
"411",120025,2017,0.493462092,9.547695802,0,0
"412",120025,2018,0.179440761,5.876684909,0,0
"413",120025,2019,0.13458057,9.46550012,0,0
"414",120030,2013,0,0,0,0
"415",120030,2014,0,0.246619824,0,0
"416",120030,2015,0,0.172633877,0,0
"417",120030,2016,0,0.295943789,0,0
"418",120030,2017,0,0.073985947,0,0
"419",120030,2018,0.138418398,28.12200451,0,0
"420",120030,2019,0,0.023069733,0,0
"421",120032,2013,0,0,0,0
"422",120032,2014,0,0,0,0
"423",120032,2015,0,0,0,0
"424",120032,2016,0,0.428594258,0,0
"425",120032,2017,0,0.142864753,0,0
"426",120032,2018,0,0,0,0
"427",120032,2019,0,0.242704421,0,0
"428",120033,2013,0,0,0,0
"429",120033,2014,0,12.7677875,0,0
"430",120033,2015,0,10.6231982,0,0
"431",120033,2016,0,2.044840967,0,0
"432",120033,2017,0,0.897735059,0,0
"433",120033,2018,0,26.36107853,0,0
"434",120033,2019,0,13.5308526,0,0
"435",120034,2013,0,0,0,0
"436",120034,2014,0,0.280477353,0,0
"437",120034,2015,0,0,0,0
"438",120034,2016,0,0,0,0.093492451
"439",120034,2017,0.171637415,0.093492451,0,0
"440",120034,2018,0,16.47719185,0,0
"441",120034,2019,0,0.514912245,0,0
"442",120035,2013,0,0,0,0
"443",120035,2014,0,2.078738778,0,0
"444",120035,2015,0,1.256911819,0,0
"445",120035,2016,0,0.725141434,0,0
"446",120035,2017,0,0.241713811,0,0
"447",120035,2018,0,0.114073788,0,0
"448",120035,2019,0,0.532344343,0,0
"449",120038,2013,0,0,0,0
"450",120038,2014,0,1.365962713,0,0
"451",120038,2015,0,0.327831051,0,0
"452",120038,2016,0,2.349455867,0,0
"453",120038,2017,0.105288452,6.993729092,0,0
"454",120038,2018,0.052644226,25.32187275,0,0
"455",120038,2019,0.052644226,7.580768556,0,0
"456",120039,2013,0,0,0,0
"457",120039,2014,0,4.910615669,0,0
"458",120039,2015,0,3.562603525,0,0
"459",120039,2016,0,0.385146327,0,0
"460",120039,2017,0,0,0,0
"461",120039,2018,0,0.613366052,0,0
"462",120039,2019,0,0.076670756,0,0
"463",120040,2013,0,0.034655793,0,0
"464",120040,2014,0,1.559510688,0,0
"465",120040,2015,0,1.159636152,0,0
"466",120040,2016,0,1.634153934,0,3.862788011
"467",120040,2017,0.497654202,0.999686338,0,0.714442503
"468",120040,2018,0.77624531,3.521677341,0,0.447650669
"469",120040,2019,0.240493179,6.46236126,0,0.311926796
"470",120042,2013,0,0,0,0
"471",120042,2014,0,15.60882044,0,0
"472",120042,2015,0,16.06052264,0,0
"473",120042,2016,0,1.656241397,0,0
"474",120042,2017,0.038917297,2.15813273,0,0
"475",120042,2018,0.038917297,4.358737245,0,0
"476",120042,2019,0,17.35711439,0,0
"477",120043,2013,0,0,0,0
"478",120043,2014,0,0.536439879,0,0
"479",120043,2015,0,0.13410997,0,0
"480",120043,2016,0,0,0,0
"481",120043,2017,0,0.13410997,0,0
"482",120043,2018,0,0,0,0
"483",120043,2019,0,0.19270475,0,0
"484",120045,2013,0,0,0,0
"485",120045,2014,0,0.798671922,0,0
"486",120045,2015,0,1.1769902,0,0
"487",120045,2016,0,2.396015765,0,0
"488",120045,2017,0.042657377,0.336282914,0,0
"489",120045,2018,0.085314753,0.981119663,0,0
"490",120045,2019,0.042657377,1.706295066,0,0
"491",120050,2013,0,0,0,0
"492",120050,2014,0,0.767739161,0,0
"493",120050,2015,0,0.323258594,0,0
"494",120050,2016,0,0.626313526,0,0.222240284
"495",120050,2017,0,0.323258594,0,0
"496",120050,2018,0,20.81480566,0,0
"497",120050,2019,0,5.798148852,0,0
"498",120060,2013,0,0,0,0
"499",120060,2014,0,0.579571967,0,0
"500",120060,2015,0,0.496775972,0,0
"501",120060,2016,0,0.269086985,0,0
"502",120060,2017,0,0.082795995,0,0
"503",120060,2018,2.35204136,5.159904689,0,1.112205604
"504",120060,2019,0.565219242,35.62704509,0,0.14586303
"505",120070,2013,0,0,0,0
"506",120070,2014,0,0.979831085,0,0
"507",120070,2015,0,3.830248786,0,0
"508",120070,2016,0,11.57982191,0,4.186550999
"509",120070,2017,0.237565927,17.63695953,0,0.623528872
"510",120070,2018,0.158377284,11.56154177,0,0
"511",120070,2019,0.158377284,55.03610635,0,0
"512",120080,2013,0,0,0,0
"513",120080,2014,0,0.654535164,0,0
"514",120080,2015,0,2.127239282,0,0
"515",120080,2016,0,6.818074621,0,0
"516",120080,2017,0,2.127239282,0,0
"517",120080,2018,0.049298776,8.577986975,0,0
"518",120080,2019,0,3.549511852,0,0
"519",130002,2013,0,0,0,0
"520",130002,2014,0,0.862889222,0,0
"521",130002,2015,0,1.265570859,0,0
"522",130002,2016,0,0.172577844,0,0
"523",130002,2017,0.055006164,0.402681637,0,0
"524",130002,2018,0,0.110012327,0,0
"525",130002,2019,0,0.220024655,0,0
"526",130006,2013,0,0,0,0
"527",130006,2014,0,0.259985607,0,0
"528",130006,2015,0,0.064996402,0,0
"529",130006,2016,0,0,0,0
"530",130006,2017,0,0,0,0
"531",130006,2018,0,0,0,0
"532",130006,2019,0,0,0,0
"533",130008,2013,0,0,0,0
"534",130008,2014,0,0,0,0
"535",130008,2015,0,0.030943599,0,0
"536",130008,2016,0,0,0,0
"537",130008,2017,0,0,0,0
"538",130008,2018,0,0,0,0
"539",130008,2019,0,0,0,0
"540",130010,2013,0,0,0,0
"541",130010,2014,0,2.671803021,0,0
"542",130010,2015,0,0.200385227,0,0
"543",130010,2016,0,0.133590151,0,0
"544",130010,2017,0.114692693,0.066795076,0,0
"545",130010,2018,0,0.114692693,0,0
"546",130010,2019,0,0,0,0
"547",130014,2013,0,0,0,0
"548",130014,2014,0,0.053681865,0,0
"549",130014,2015,0,0.322091188,0,0
"550",130014,2016,0,0.644182377,0,0
"551",130014,2017,0,0.053681865,0,0
"552",130014,2018,0,0,0,0
"553",130014,2019,0,0.048405885,0,0
"554",130020,2013,0,0,0,0
"555",130020,2014,0,0.396344901,0,0
"556",130020,2015,0,0.066057483,0,0
"557",130020,2016,0,0.066057483,0,0
"558",130020,2017,0,0,0,0
"559",130020,2018,0,0,0,0
"560",130020,2019,0,0.664333273,0,0
"561",130030,2013,0,0,0,0
"562",130030,2014,0,0,0,0
"563",130030,2015,0,0,0,0
"564",130030,2016,0,0.590174188,0,0
"565",130030,2017,0,0.047213935,0,0
"566",130030,2018,0,0.042454605,0,0
"567",130030,2019,0,0.021227302,0,0
"568",130040,2013,0,0,0,0
"569",130040,2014,0,0.342985847,0,0
"570",130040,2015,0,3.601351392,0,0
"571",130040,2016,0,0.171492923,0,0.034298585
"572",130040,2017,0.273757098,0.137194339,0,0.137194339
"573",130040,2018,0.068439274,0.034219637,0,0.034219637
"574",130040,2019,0,0.307976735,0,0
"575",130050,2013,0,0,0,0
"576",130050,2014,0,0,0,0
"577",130050,2015,0,0.026706474,0,0
"578",130050,2016,0,0.053412949,0,0
"579",130050,2017,0,0,0,0
"580",130050,2018,0,0,0,0
"581",130050,2019,0,0,0,0
"582",130060,2013,0,0,0,0
"583",130060,2014,0,0.05088728,0,0
"584",130060,2015,0,0.016962427,0,0
"585",130060,2016,0,0.373173386,0,0
"586",130060,2017,0,0.288361253,0,0.016962427
"587",130060,2018,0.014558441,0.014558441,0,0
"588",130060,2019,0,6.274687997,0,0.014558441
"589",130063,2013,0,0,0,0
"590",130063,2014,0,0,0,0
"591",130063,2015,0,0.041631165,0,0
"592",130063,2016,0,0.957516791,0,0
"593",130063,2017,0.036163791,0.541205142,0,0
"594",130063,2018,0,0,0,0
"595",130063,2019,0,0,0,0
"596",130068,2013,0,0,0,0
"597",130068,2014,0,0.044719582,0,0
"598",130068,2015,0,0,0,0
"599",130068,2016,0,1.207428724,0,0
"600",130068,2017,0,0.268317494,0,0
"601",130068,2018,0,0.0771608,0,0
"602",130068,2019,0,0,0,0
"603",130070,2013,0,0,0,0
"604",130070,2014,0,0.470205551,0,0
"605",130070,2015,0,0.444083021,0,0
"606",130070,2016,0,1.071023756,0,0
"607",130070,2017,0,0.444083021,0,0
"608",130070,2018,0,0.58697631,0,0
"609",130070,2019,0.178644964,5.05310041,0,0
"610",130080,2013,0,0,0,0
"611",130080,2014,0,0.996256378,0,0
"612",130080,2015,0,0.119550765,0,0
"613",130080,2016,0,1.354908675,0,0.318802041
"614",130080,2017,1.289426963,0.81693023,0,0.836855358
"615",130080,2018,0.261622862,0.112124084,0,0.093436736
"616",130080,2019,0.242935515,0.822243281,0,0.093436736
"617",130083,2013,0,0,0,0
"618",130083,2014,0,0.140060558,0,0
"619",130083,2015,0,0,0,0
"620",130083,2016,0,0.070030279,0,0
"621",130083,2017,0,0.070030279,0,0
"622",130083,2018,0,0.0647091,0,0
"623",130083,2019,0,0,0,0
"624",130090,2013,0,0,0,0
"625",130090,2014,0,0.053703254,0,0
"626",130090,2015,0,0,0,0
"627",130090,2016,0,0,0,0
"628",130090,2017,0,0.161109763,0,0
"629",130090,2018,0,0.051218455,0,0
"630",130090,2019,0,0.051218455,0,0
"631",130100,2013,0,0,0,0
"632",130100,2014,0,0,0,0
"633",130100,2015,0,0.029453806,0,0
"634",130100,2016,0,0.088361418,0,0
"635",130100,2017,0,1.060337015,0,0
"636",130100,2018,0,0.115722031,0,0
"637",130100,2019,0.028930508,18.0237064,0,0
"638",130110,2013,0,0,0,0
"639",130110,2014,0,0.135843588,0,0
"640",130110,2015,0,0.067921794,0,0
"641",130110,2016,0,0.384890166,0,0
"642",130110,2017,0,0,0,0
"643",130110,2018,0,0.042692185,0,0
